claim_id,claim_amount,policy_age_days,claimant_age,claim_type,description,previous_claims,is_fraud
CLM001,2500.50,365,34,auto,"Minor fender bender",0,0
CLM002,15000.00,30,45,auto,"Total loss accident",2,1
CLM003,850.75,1200,28,auto,"Windshield replacement",0,0
CLM004,12500.00,45,52,auto,"Rear-end collision damage",3,1
CLM005,3200.00,800,41,auto,"Side mirror and door damage",1,0
CLM006,18000.00,15,29,auto,"Engine damage from accident",0,1
CLM007,1100.25,2400,67,auto,"Parking lot scratch",0,0
CLM008,9500.00,90,38,auto,"Front bumper replacement",4,1
CLM009,750.00,1800,45,auto,"Tire replacement",0,0
CLM010,22000.00,7,33,auto,"Multiple vehicle collision",1,1
CLM011,4200.00,600,55,auto,"Hail damage repair",0,0
CLM012,16500.00,25,42,auto,"Rollover accident damage",2,1
CLM013,950.00,3000,31,auto,"Headlight replacement",0,0
CLM014,8750.00,120,48,auto,"Transmission damage",3,1
CLM015,2800.00,900,39,auto,"Paint scratch repair",1,0
CLM016,19500.00,10,27,auto,"Structural frame damage",0,1
CLM017,1350.00,1500,58,auto,"Window tinting damage",0,0
CLM018,11200.00,60,44,auto,"Suspension system repair",4,1
CLM019,675.50,2200,36,auto,"License plate replacement",0,0
CLM020,14800.00,35,50,auto,"Airbag deployment repair",2,1
CLM021,3850.00,750,43,auto,"Door handle replacement",1,0
CLM022,21000.00,12,31,auto,"Fire damage restoration",0,1
CLM023,1250.75,1900,49,auto,"Rearview mirror repair",0,0
CLM024,7900.00,150,37,auto,"Brake system overhaul",3,1
CLM025,2150.00,1100,46,auto,"Seat cover replacement",0,0
CLM026,17200.00,20,40,auto,"Flood damage repair",1,1
CLM027,825.25,2800,53,auto,"Horn replacement",0,0
CLM028,10500.00,75,35,auto,"Radiator replacement",4,1
CLM029,1850.00,1400,42,auto,"Dashboard repair",0,0
CLM030,13900.00,40,47,auto,"Catalytic converter theft",2,1
CLM031,3450.00,850,38,auto,"Side panel dent repair",1,0
CLM032,20500.00,8,32,auto,"Total electrical system failure",0,1
CLM033,1050.00,2100,51,auto,"Antenna replacement",0,0
CLM034,9200.00,110,41,auto,"Exhaust system repair",3,1
CLM035,2650.00,950,44,auto,"Upholstery cleaning",0,0
CLM036,15800.00,28,39,auto,"Roof damage from falling tree",1,1
CLM037,775.50,2500,56,auto,"Wiper blade replacement",0,0
CLM038,8400.00,130,46,auto,"Steering column repair",4,1
CLM039,1950.00,1300,33,auto,"Floor mat replacement",0,0
CLM040,12800.00,50,48,auto,"Fuel system contamination",2,1
CLM041,3750.00,700,40,auto,"Bumper sticker removal damage",1,0
CLM042,18900.00,18,34,auto,"Vandalism repair",0,1
CLM043,925.75,2300,52,auto,"Glove compartment repair",0,0
CLM044,7650.00,140,43,auto,"Air conditioning system",3,1
CLM045,2350.00,1050,47,auto,"Trunk latch repair",0,0
CLM046,16200.00,32,36,auto,"Theft recovery damage",1,1
CLM047,1150.25,1750,54,auto,"Cup holder replacement",0,0
CLM048,10800.00,85,39,auto,"Timing belt failure",4,1
CLM049,2950.00,800,45,auto,"Sunroof leak repair",0,0
CLM050,14200.00,42,41,auto,"Computer system malfunction",2,1
